Year/年/年,Month/月/月,Day/日/日,Hour/時/时,Minute/分/分,Second/秒/秒,TimeZone/時區/时区,Height(m)/高度(米)/高度(米)
2024,1,25,3,57,,UTC+8,0.41
2024,1,25,11,0,,UTC+8,1.38
2024,1,25,13,50,,UTC+8,1.29
2024,1,25,21,1,,UTC+8,2.38
2024,1,26,4,30,,UTC+8,0.41
2024,1,26,11,24,,UTC+8,1.39
2024,1,26,14,36,,UTC+8,1.24
2024,1,26,21,37,,UTC+8,2.36
2024,1,27,5,1,,UTC+8,0.44
2024,1,27,11,49,,UTC+8,1.41
2024,1,27,15,18,,UTC+8,1.2
2024,1,27,22,12,,UTC+8,2.32
2024,1,28,5,28,,UTC+8,0.51
2024,1,28,12,13,,UTC+8,1.43
2024,1,28,15,59,,UTC+8,1.17
2024,1,28,22,43,,UTC+8,2.24
2024,1,29,5,53,,UTC+8,0.59
2024,1,29,12,35,,UTC+8,1.47
2024,1,29,16,40,,UTC+8,1.17
2024,1,29,23,9,,UTC+8,2.13
2024,1,30,6,17,,UTC+8,0.68
2024,1,30,12,58,,UTC+8,1.51
2024,1,30,17,24,,UTC+8,1.18
2024,1,30,23,23,,UTC+8,1.99
2024,1,31,6,42,,UTC+8,0.78
2024,1,31,13,26,,UTC+8,1.58
2024,1,31,18,12,,UTC+8,1.2
2024,1,31,23,40,,UTC+8,1.82
2024,2,1,7,8,,UTC+8,0.89
2024,2,1,13,59,,UTC+8,1.65
2024,2,1,19,7,,UTC+8,1.23
2024,2,2,0,7,,UTC+8,1.64
2024,2,2,7,32,,UTC+8,1
2024,2,2,14,37,,UTC+8,1.74
2024,2,2,20,21,,UTC+8,1.23
2024,2,3,0,41,,UTC+8,1.43
2024,2,3,7,53,,UTC+8,1.1
2024,2,3,15,19,,UTC+8,1.84
2024,2,3,22,6,,UTC+8,1.17
2024,2,4,4,41,,UTC+8,1.25
2024,2,4,8,9,,UTC+8,1.19
2024,2,4,16,4,,UTC+8,1.95
2024,2,5,1,29,,UTC+8,0.98
2024,2,5,16,51,,UTC+8,2.08
2024,2,6,2,0,,UTC+8,0.76
2024,2,6,17,41,,UTC+8,2.22
2024,2,7,2,30,,UTC+8,0.57
2024,2,7,18,35,,UTC+8,2.36
2024,2,8,3,1,,UTC+8,0.41
2024,2,8,10,10,,UTC+8,1.42
2024,2,8,12,46,,UTC+8,1.32
2024,2,8,19,35,,UTC+8,2.49
2024,2,9,3,34,,UTC+8,0.3
2024,2,9,10,38,,UTC+8,1.45
2024,2,9,13,56,,UTC+8,1.22
2024,2,9,20,36,,UTC+8,2.58
2024,2,10,4,7,,UTC+8,0.26
2024,2,10,11,7,,UTC+8,1.5
2024,2,10,14,54,,UTC+8,1.1
2024,2,10,21,34,,UTC+8,2.61
2024,2,11,4,40,,UTC+8,0.3
2024,2,11,11,37,,UTC+8,1.56
2024,2,11,15,47,,UTC+8,0.98
2024,2,11,22,29,,UTC+8,2.55
2024,2,12,5,11,,UTC+8,0.4
2024,2,12,12,8,,UTC+8,1.64
2024,2,12,16,37,,UTC+8,0.91
2024,2,12,23,22,,UTC+8,2.4
2024,2,13,5,41,,UTC+8,0.55
2024,2,13,12,43,,UTC+8,1.73
2024,2,13,17,28,,UTC+8,0.88
2024,2,14,0,14,,UTC+8,2.17
2024,2,14,6,11,,UTC+8,0.72
2024,2,14,13,22,,UTC+8,1.83
2024,2,14,18,21,,UTC+8,0.91
2024,2,15,1,7,,UTC+8,1.88
2024,2,15,6,40,,UTC+8,0.89
2024,2,15,14,5,,UTC+8,1.91
2024,2,15,19,23,,UTC+8,0.97
2024,2,16,2,15,,UTC+8,1.58
2024,2,16,7,7,,UTC+8,1.05
2024,2,16,14,55,,UTC+8,1.96
2024,2,16,20,59,,UTC+8,1.01
2024,2,17,3,55,,UTC+8,1.33
2024,2,17,7,28,,UTC+8,1.18
2024,2,17,15,52,,UTC+8,2.01
2024,2,17,23,6,,UTC+8,0.94
2024,2,18,16,55,,UTC+8,2.05
2024,2,19,1,38,,UTC+8,0.77
2024,2,19,17,56,,UTC+8,2.09
2024,2,20,2,7,,UTC+8,0.64
2024,2,20,18,49,,UTC+8,2.14
2024,2,21,2,33,,UTC+8,0.55
2024,2,21,19,36,,UTC+8,2.19
2024,2,22,3,2,,UTC+8,0.49
2024,2,22,10,14,,UTC+8,1.4
2024,2,22,13,14,,UTC+8,1.3
2024,2,22,20,17,,UTC+8,2.22
2024,2,23,3,31,,UTC+8,0.47
2024,2,23,10,26,,UTC+8,1.42
2024,2,23,14,3,,UTC+8,1.2
2024,2,23,20,56,,UTC+8,2.23
2024,2,24,3,58,,UTC+8,0.49
2024,2,24,10,41,,UTC+8,1.46
2024,2,24,14,45,,UTC+8,1.11
2024,2,24,21,33,,UTC+8,2.22
2024,2,25,4,23,,UTC+8,0.54
2024,2,25,10,54,,UTC+8,1.51
2024,2,25,15,24,,UTC+8,1.03
2024,2,25,22,9,,UTC+8,2.17
2024,2,26,4,45,,UTC+8,0.61
2024,2,26,11,5,,UTC+8,1.57
2024,2,26,16,2,,UTC+8,0.98
2024,2,26,22,43,,UTC+8,2.1
2024,2,27,5,6,,UTC+8,0.7
2024,2,27,11,22,,UTC+8,1.65
2024,2,27,16,41,,UTC+8,0.95
2024,2,27,23,18,,UTC+8,1.98
2024,2,28,5,28,,UTC+8,0.79
2024,2,28,11,43,,UTC+8,1.72
2024,2,28,17,21,,UTC+8,0.94
2024,2,28,23,53,,UTC+8,1.84
2024,2,29,5,50,,UTC+8,0.89
2024,2,29,12,7,,UTC+8,1.79
2024,2,29,18,4,,UTC+8,0.95
2024,3,1,0,32,,UTC+8,1.67
2024,3,1,6,11,,UTC+8,1
2024,3,1,12,31,,UTC+8,1.86
2024,3,1,18,53,,UTC+8,0.97
2024,3,2,1,23,,UTC+8,1.49
2024,3,2,6,27,,UTC+8,1.1
2024,3,2,13,0,,UTC+8,1.92
2024,3,2,19,55,,UTC+8,0.99
2024,3,3,2,52,,UTC+8,1.31
2024,3,3,6,30,,UTC+8,1.19
2024,3,3,13,39,,UTC+8,1.96
2024,3,3,21,33,,UTC+8,0.97
2024,3,4,14,39,,UTC+8,2.01
2024,3,5,0,54,,UTC+8,0.84
2024,3,5,16,3,,UTC+8,2.08
2024,3,6,1,32,,UTC+8,0.66
2024,3,6,17,15,,UTC+8,2.19
2024,3,7,2,2,,UTC+8,0.51
2024,3,7,9,23,,UTC+8,1.47
2024,3,7,11,39,,UTC+8,1.41
2024,3,7,18,23,,UTC+8,2.3
2024,3,8,2,30,,UTC+8,0.41
2024,3,8,9,38,,UTC+8,1.51
2024,3,8,13,3,,UTC+8,1.27
2024,3,8,19,31,,UTC+8,2.4
2024,3,9,2,59,,UTC+8,0.36
2024,3,9,9,58,,UTC+8,1.57
2024,3,9,14,3,,UTC+8,1.07
2024,3,9,20,35,,UTC+8,2.46
2024,3,10,3,29,,UTC+8,0.38
2024,3,10,10,18,,UTC+8,1.66
2024,3,10,14,55,,UTC+8,0.88
2024,3,10,21,33,,UTC+8,2.44
2024,3,11,3,59,,UTC+8,0.46
2024,3,11,10,42,,UTC+8,1.78
2024,3,11,15,44,,UTC+8,0.73
2024,3,11,22,27,,UTC+8,2.34
2024,3,12,4,29,,UTC+8,0.59
2024,3,12,11,9,,UTC+8,1.91
2024,3,12,16,33,,UTC+8,0.64
2024,3,12,23,19,,UTC+8,2.16
2024,3,13,4,58,,UTC+8,0.75
2024,3,13,11,41,,UTC+8,2.02
2024,3,13,17,22,,UTC+8,0.62
2024,3,14,0,11,,UTC+8,1.91
2024,3,14,5,26,,UTC+8,0.91
2024,3,14,12,15,,UTC+8,2.1
2024,3,14,18,14,,UTC+8,0.67
2024,3,15,1,7,,UTC+8,1.65
2024,3,15,5,51,,UTC+8,1.07
2024,3,15,12,50,,UTC+8,2.12
2024,3,15,19,18,,UTC+8,0.76
2024,3,16,2,23,,UTC+8,1.4
2024,3,16,6,7,,UTC+8,1.19
2024,3,16,13,30,,UTC+8,2.11
2024,3,16,20,57,,UTC+8,0.82
2024,3,17,14,21,,UTC+8,2.06
2024,3,17,22,58,,UTC+8,0.8
2024,3,18,15,48,,UTC+8,2.01
2024,3,19,0,40,,UTC+8,0.71
2024,3,19,17,15,,UTC+8,2
2024,3,20,1,21,,UTC+8,0.64
2024,3,20,18,23,,UTC+8,2.02
2024,3,21,1,53,,UTC+8,0.6
2024,3,21,9,30,,UTC+8,1.49
2024,3,21,12,29,,UTC+8,1.39
2024,3,21,19,17,,UTC+8,2.04
2024,3,22,2,22,,UTC+8,0.59
2024,3,22,9,28,,UTC+8,1.5
2024,3,22,13,23,,UTC+8,1.25
2024,3,22,20,3,,UTC+8,2.05
2024,3,23,2,50,,UTC+8,0.6
2024,3,23,9,35,,UTC+8,1.55
2024,3,23,14,4,,UTC+8,1.12
2024,3,23,20,45,,UTC+8,2.05
2024,3,24,3,14,,UTC+8,0.64
2024,3,24,9,44,,UTC+8,1.63
2024,3,24,14,42,,UTC+8,0.99
2024,3,24,21,24,,UTC+8,2.03
2024,3,25,3,36,,UTC+8,0.7
2024,3,25,9,53,,UTC+8,1.72
2024,3,25,15,19,,UTC+8,0.89
2024,3,25,22,3,,UTC+8,1.98
2024,3,26,3,56,,UTC+8,0.78
2024,3,26,10,9,,UTC+8,1.82
2024,3,26,15,56,,UTC+8,0.81
2024,3,26,22,40,,UTC+8,1.9
2024,3,27,4,17,,UTC+8,0.86
2024,3,27,10,30,,UTC+8,1.91
2024,3,27,16,33,,UTC+8,0.75
2024,3,27,23,18,,UTC+8,1.8
2024,3,28,4,39,,UTC+8,0.95
2024,3,28,10,52,,UTC+8,1.99
2024,3,28,17,13,,UTC+8,0.72
2024,3,28,23,59,,UTC+8,1.68
2024,3,29,5,0,,UTC+8,1.05
2024,3,29,11,14,,UTC+8,2.05
2024,3,29,17,55,,UTC+8,0.72
2024,3,30,0,45,,UTC+8,1.54
2024,3,30,5,14,,UTC+8,1.14
2024,3,30,11,31,,UTC+8,2.09
2024,3,30,18,43,,UTC+8,0.74
2024,3,31,1,45,,UTC+8,1.4
2024,3,31,5,13,,UTC+8,1.22
2024,3,31,11,53,,UTC+8,2.11
2024,3,31,19,44,,UTC+8,0.77
2024,4,1,12,42,,UTC+8,2.1
2024,4,1,21,20,,UTC+8,0.78
2024,4,2,13,55,,UTC+8,2.09
2024,4,2,23,11,,UTC+8,0.71
2024,4,3,15,36,,UTC+8,2.09
2024,4,4,0,33,,UTC+8,0.61
2024,4,4,17,0,,UTC+8,2.14
2024,4,5,1,10,,UTC+8,0.54
2024,4,5,8,34,,UTC+8,1.57
2024,4,5,11,57,,UTC+8,1.37
2024,4,5,18,16,,UTC+8,2.19
2024,4,6,1,42,,UTC+8,0.51
2024,4,6,8,47,,UTC+8,1.65
2024,4,6,13,4,,UTC+8,1.14
2024,4,6,19,27,,UTC+8,2.23
2024,4,7,2,13,,UTC+8,0.52
2024,4,7,9,3,,UTC+8,1.76
2024,4,7,13,59,,UTC+8,0.9
2024,4,7,20,31,,UTC+8,2.22
2024,4,8,2,45,,UTC+8,0.59
2024,4,8,9,25,,UTC+8,1.91
2024,4,8,14,49,,UTC+8,0.67
2024,4,8,21,29,,UTC+8,2.15
2024,4,9,3,16,,UTC+8,0.7
2024,4,9,9,52,,UTC+8,2.07
2024,4,9,15,38,,UTC+8,0.51
2024,4,9,22,24,,UTC+8,2.02
2024,4,10,3,46,,UTC+8,0.83
2024,4,10,10,23,,UTC+8,2.2
2024,4,10,16,27,,UTC+8,0.43
2024,4,10,23,17,,UTC+8,1.84
2024,4,11,4,15,,UTC+8,0.98
2024,4,11,10,56,,UTC+8,2.29
2024,4,11,17,17,,UTC+8,0.44
2024,4,12,0,13,,UTC+8,1.64
2024,4,12,4,41,,UTC+8,1.11
2024,4,12,11,31,,UTC+8,2.31
2024,4,12,18,11,,UTC+8,0.5
2024,4,13,1,17,,UTC+8,1.46
2024,4,13,4,57,,UTC+8,1.21
2024,4,13,12,7,,UTC+8,2.28
2024,4,13,19,21,,UTC+8,0.59
2024,4,14,2,34,,UTC+8,1.32
2024,4,14,4,21,,UTC+8,1.27
2024,4,14,12,46,,UTC+8,2.19
2024,4,14,20,48,,UTC+8,0.66
2024,4,15,13,34,,UTC+8,2.09
2024,4,15,22,14,,UTC+8,0.69
2024,4,16,14,51,,UTC+8,1.98
2024,4,16,23,32,,UTC+8,0.69
2024,4,17,16,21,,UTC+8,1.91
2024,4,18,0,23,,UTC+8,0.68
2024,4,18,17,40,,UTC+8,1.87
2024,4,19,1,1,,UTC+8,0.69
2024,4,19,8,29,,UTC+8,1.56
2024,4,19,12,32,,UTC+8,1.36
2024,4,19,18,45,,UTC+8,1.85
2024,4,20,1,32,,UTC+8,0.71
2024,4,20,8,27,,UTC+8,1.62
2024,4,20,13,19,,UTC+8,1.2
2024,4,20,19,39,,UTC+8,1.83
2024,4,21,1,59,,UTC+8,0.76
2024,4,21,8,37,,UTC+8,1.7
2024,4,21,13,58,,UTC+8,1.04
2024,4,21,20,27,,UTC+8,1.81
2024,4,22,2,21,,UTC+8,0.81
2024,4,22,8,47,,UTC+8,1.81
2024,4,22,14,34,,UTC+8,0.89
2024,4,22,21,11,,UTC+8,1.77
2024,4,23,2,42,,UTC+8,0.88
2024,4,23,9,1,,UTC+8,1.93
2024,4,23,15,10,,UTC+8,0.76
2024,4,23,21,54,,UTC+8,1.73
2024,4,24,3,4,,UTC+8,0.94
2024,4,24,9,20,,UTC+8,2.04
2024,4,24,15,47,,UTC+8,0.65
2024,4,24,22,35,,UTC+8,1.67
2024,4,25,3,27,,UTC+8,1.02
2024,4,25,9,43,,UTC+8,2.14
2024,4,25,16,25,,UTC+8,0.58
2024,4,25,23,16,,UTC+8,1.6
2024,4,26,3,48,,UTC+8,1.09
2024,4,26,10,6,,UTC+8,2.21
2024,4,26,17,5,,UTC+8,0.54
2024,4,27,0,1,,UTC+8,1.51
2024,4,27,4,4,,UTC+8,1.17
2024,4,27,10,13,,UTC+8,2.25
2024,4,27,17,49,,UTC+8,0.53
2024,4,28,0,54,,UTC+8,1.42
2024,4,28,4,8,,UTC+8,1.22
2024,4,28,10,17,,UTC+8,2.27
2024,4,28,18,40,,UTC+8,0.55
2024,4,29,2,8,,UTC+8,1.34
2024,4,29,4,18,,UTC+8,1.27
2024,4,29,10,58,,UTC+8,2.24
2024,4,29,19,46,,UTC+8,0.59
2024,4,30,12,31,,UTC+8,2.18
2024,4,30,21,10,,UTC+8,0.61
2024,5,1,13,50,,UTC+8,2.11
2024,5,1,22,24,,UTC+8,0.6
2024,5,2,15,27,,UTC+8,2.06
2024,5,2,23,24,,UTC+8,0.6
2024,5,3,7,18,,UTC+8,1.57
2024,5,3,10,24,,UTC+8,1.44
2024,5,3,16,53,,UTC+8,2.02
2024,5,4,0,10,,UTC+8,0.61
2024,5,4,7,29,,UTC+8,1.67
2024,5,4,11,54,,UTC+8,1.24
2024,5,4,18,11,,UTC+8,1.98
2024,5,5,0,48,,UTC+8,0.66
2024,5,5,7,49,,UTC+8,1.8
2024,5,5,12,57,,UTC+8,0.98
2024,5,5,19,23,,UTC+8,1.93
2024,5,6,1,24,,UTC+8,0.73
2024,5,6,8,13,,UTC+8,1.96
2024,5,6,13,52,,UTC+8,0.72
2024,5,6,20,28,,UTC+8,1.86
2024,5,7,1,58,,UTC+8,0.82
2024,5,7,8,41,,UTC+8,2.13
2024,5,7,14,43,,UTC+8,0.51
2024,5,7,21,29,,UTC+8,1.77
2024,5,8,2,31,,UTC+8,0.93
2024,5,8,9,12,,UTC+8,2.28
2024,5,8,15,33,,UTC+8,0.37
2024,5,8,22,28,,UTC+8,1.66
2024,5,9,3,3,,UTC+8,1.04
2024,5,9,9,46,,UTC+8,2.38
2024,5,9,16,24,,UTC+8,0.31
2024,5,9,23,26,,UTC+8,1.54
2024,5,10,3,31,,UTC+8,1.13
2024,5,10,10,22,,UTC+8,2.41
2024,5,10,17,17,,UTC+8,0.32
2024,5,11,0,25,,UTC+8,1.43
2024,5,11,3,50,,UTC+8,1.21
2024,5,11,10,59,,UTC+8,2.39
2024,5,11,18,16,,UTC+8,0.38
2024,5,12,1,25,,UTC+8,1.34
2024,5,12,3,30,,UTC+8,1.25
2024,5,12,11,38,,UTC+8,2.31
2024,5,12,19,21,,UTC+8,0.46
2024,5,13,12,18,,UTC+8,2.19
2024,5,13,20,23,,UTC+8,0.54
2024,5,14,13,4,,UTC+8,2.06
2024,5,14,21,23,,UTC+8,0.61
2024,5,15,14,9,,UTC+8,1.92
2024,5,15,22,21,,UTC+8,0.67
2024,5,16,15,28,,UTC+8,1.8
2024,5,16,23,13,,UTC+8,0.72
2024,5,17,7,15,,UTC+8,1.52
2024,5,17,10,23,,UTC+8,1.46
2024,5,17,16,38,,UTC+8,1.7
2024,5,17,23,55,,UTC+8,0.78
2024,5,18,7,12,,UTC+8,1.6
2024,5,18,12,16,,UTC+8,1.31
2024,5,18,17,59,,UTC+8,1.62
2024,5,19,0,25,,UTC+8,0.83
2024,5,19,7,27,,UTC+8,1.7
2024,5,19,13,8,,UTC+8,1.14
2024,5,19,19,12,,UTC+8,1.57
2024,5,20,0,50,,UTC+8,0.89
2024,5,20,7,39,,UTC+8,1.81
2024,5,20,13,48,,UTC+8,0.96
2024,5,20,20,10,,UTC+8,1.53
2024,5,21,1,14,,UTC+8,0.95
2024,5,21,7,50,,UTC+8,1.94
2024,5,21,14,26,,UTC+8,0.79
2024,5,21,21,1,,UTC+8,1.5
2024,5,22,1,40,,UTC+8,1
2024,5,22,8,7,,UTC+8,2.07
2024,5,22,15,2,,UTC+8,0.64
2024,5,22,21,48,,UTC+8,1.48
2024,5,23,2,7,,UTC+8,1.06
2024,5,23,8,31,,UTC+8,2.19
2024,5,23,15,40,,UTC+8,0.51
2024,5,23,22,34,,UTC+8,1.45
2024,5,24,2,32,,UTC+8,1.11
2024,5,24,8,57,,UTC+8,2.28
2024,5,24,16,20,,UTC+8,0.42
2024,5,24,23,21,,UTC+8,1.41
2024,5,25,2,52,,UTC+8,1.16
2024,5,25,9,23,,UTC+8,2.34
2024,5,25,17,3,,UTC+8,0.38
2024,5,26,0,13,,UTC+8,1.37
2024,5,26,3,8,,UTC+8,1.2
2024,5,26,9,56,,UTC+8,2.36
2024,5,26,17,50,,UTC+8,0.37
2024,5,27,1,12,,UTC+8,1.34
2024,5,27,3,31,,UTC+8,1.23
2024,5,27,10,56,,UTC+8,2.34
2024,5,27,18,43,,UTC+8,0.4
2024,5,28,2,14,,UTC+8,1.32
2024,5,28,4,2,,UTC+8,1.27
2024,5,28,11,50,,UTC+8,2.29
2024,5,28,19,43,,UTC+8,0.44
2024,5,29,12,48,,UTC+8,2.2
2024,5,29,20,43,,UTC+8,0.5
2024,5,30,13,57,,UTC+8,2.07
2024,5,30,21,37,,UTC+8,0.57
2024,5,31,5,17,,UTC+8,1.51
2024,5,31,8,26,,UTC+8,1.38
2024,5,31,15,24,,UTC+8,1.94
2024,5,31,22,26,,UTC+8,0.65
2024,6,1,5,56,,UTC+8,1.63
2024,6,1,10,22,,UTC+8,1.27
2024,6,1,16,48,,UTC+8,1.81
2024,6,1,23,11,,UTC+8,0.74
2024,6,2,6,29,,UTC+8,1.78
2024,6,2,11,44,,UTC+8,1.06
2024,6,2,18,9,,UTC+8,1.68
2024,6,2,23,52,,UTC+8,0.84
2024,6,3,7,1,,UTC+8,1.94
2024,6,3,12,50,,UTC+8,0.82
2024,6,3,19,24,,UTC+8,1.58
2024,6,4,0,31,,UTC+8,0.93
2024,6,4,7,33,,UTC+8,2.1
2024,6,4,13,48,,UTC+8,0.59
2024,6,4,20,36,,UTC+8,1.5
2024,6,5,1,8,,UTC+8,1.02
2024,6,5,8,5,,UTC+8,2.24
2024,6,5,14,42,,UTC+8,0.41
2024,6,5,21,46,,UTC+8,1.44
2024,6,6,1,44,,UTC+8,1.1
2024,6,6,8,40,,UTC+8,2.35
2024,6,6,15,36,,UTC+8,0.29
2024,6,6,22,48,,UTC+8,1.39
2024,6,7,2,18,,UTC+8,1.16
2024,6,7,9,17,,UTC+8,2.41
2024,6,7,16,29,,UTC+8,0.25
2024,6,7,23,40,,UTC+8,1.35
2024,6,8,2,44,,UTC+8,1.2
2024,6,8,9,56,,UTC+8,2.4
2024,6,8,17,22,,UTC+8,0.26
2024,6,9,0,28,,UTC+8,1.31
2024,6,9,2,41,,UTC+8,1.22
2024,6,9,10,37,,UTC+8,2.35
2024,6,9,18,13,,UTC+8,0.31
2024,6,10,1,16,,UTC+8,1.29
2024,6,10,3,4,,UTC+8,1.23
2024,6,10,11,17,,UTC+8,2.26
2024,6,10,19,0,,UTC+8,0.39
2024,6,11,11,57,,UTC+8,2.14
2024,6,11,19,44,,UTC+8,0.49
2024,6,12,12,35,,UTC+8,2
2024,6,12,20,25,,UTC+8,0.58
2024,6,13,13,15,,UTC+8,1.85
2024,6,13,21,5,,UTC+8,0.68
2024,6,14,14,25,,UTC+8,1.69
2024,6,14,21,42,,UTC+8,0.77
2024,6,15,5,34,,UTC+8,1.52
2024,6,15,9,29,,UTC+8,1.37
2024,6,15,15,43,,UTC+8,1.54
2024,6,15,22,18,,UTC+8,0.86
2024,6,16,6,1,,UTC+8,1.63
2024,6,16,11,34,,UTC+8,1.25
2024,6,16,17,4,,UTC+8,1.4
2024,6,16,22,53,,UTC+8,0.93
2024,6,17,6,17,,UTC+8,1.75
2024,6,17,12,59,,UTC+8,1.07
2024,6,17,18,54,,UTC+8,1.33
2024,6,17,23,28,,UTC+8,1
2024,6,18,6,26,,UTC+8,1.88
2024,6,18,13,44,,UTC+8,0.88
2024,6,18,20,3,,UTC+8,1.3
2024,6,18,23,59,,UTC+8,1.05
2024,6,19,6,45,,UTC+8,2.02
2024,6,19,14,23,,UTC+8,0.69
2024,6,19,21,2,,UTC+8,1.3
2024,6,20,0,35,,UTC+8,1.1
2024,6,20,7,12,,UTC+8,2.16
2024,6,20,15,1,,UTC+8,0.53
2024,6,20,21,57,,UTC+8,1.31
2024,6,21,1,7,,UTC+8,1.14
2024,6,21,7,43,,UTC+8,2.27
2024,6,21,15,40,,UTC+8,0.4
2024,6,21,22,46,,UTC+8,1.32
2024,6,22,1,39,,UTC+8,1.17
2024,6,22,8,22,,UTC+8,2.36
2024,6,22,16,21,,UTC+8,0.31
2024,6,22,23,33,,UTC+8,1.32
2024,6,23,2,12,,UTC+8,1.18
2024,6,23,9,14,,UTC+8,2.42
2024,6,23,17,4,,UTC+8,0.27
2024,6,24,0,18,,UTC+8,1.32
2024,6,24,2,52,,UTC+8,1.19
2024,6,24,10,10,,UTC+8,2.43
2024,6,24,17,48,,UTC+8,0.27
2024,6,25,1,3,,UTC+8,1.33
2024,6,25,3,48,,UTC+8,1.19
2024,6,25,11,4,,UTC+8,2.4
2024,6,25,18,32,,UTC+8,0.32
2024,6,26,1,50,,UTC+8,1.36
2024,6,26,4,58,,UTC+8,1.2
2024,6,26,11,58,,UTC+8,2.31
2024,6,26,19,15,,UTC+8,0.41
2024,6,27,2,37,,UTC+8,1.42
2024,6,27,6,2,,UTC+8,1.21
2024,6,27,12,54,,UTC+8,2.17
2024,6,27,19,57,,UTC+8,0.52
2024,6,28,3,24,,UTC+8,1.51
2024,6,28,7,9,,UTC+8,1.22
2024,6,28,13,59,,UTC+8,1.97
2024,6,28,20,38,,UTC+8,0.65
2024,6,29,4,12,,UTC+8,1.63
2024,6,29,8,30,,UTC+8,1.2
2024,6,29,15,21,,UTC+8,1.75
2024,6,29,21,19,,UTC+8,0.79
2024,6,30,4,58,,UTC+8,1.76
2024,6,30,10,14,,UTC+8,1.1
2024,6,30,16,46,,UTC+8,1.54
2024,6,30,22,0,,UTC+8,0.92
2024,7,1,5,41,,UTC+8,1.91
2024,7,1,11,40,,UTC+8,0.92
2024,7,1,18,15,,UTC+8,1.39
2024,7,1,22,42,,UTC+8,1.04
2024,7,2,6,22,,UTC+8,2.05
2024,7,2,12,54,,UTC+8,0.72
2024,7,2,19,50,,UTC+8,1.31
